1,hp,45
1,attack,49
1,defense,49
1,special-attack,65
1,special-defense,65
1,speed,45
2,hp,60
2,attack,62
2,defense,63
2,special-attack,80
2,special-defense,80
2,speed,60
3,hp,80
3,attack,82
3,defense,83
3,special-attack,100
3,special-defense,100
3,speed,80
4,hp,39
4,attack,52
4,defense,43
4,special-attack,60
4,special-defense,50
4,speed,65
5,hp,58
5,attack,64
5,defense,58
5,special-attack,80
5,special-defense,65
5,speed,80
6,hp,78
6,attack,84
6,defense,78
6,special-attack,109
6,special-defense,85
6,speed,100
7,hp,44
7,attack,48
7,defense,65
7,special-attack,50
7,special-defense,64
7,speed,43
8,hp,59
8,attack,63
8,defense,80
8,special-attack,65
8,special-defense,80
8,speed,58
9,hp,79
9,attack,83
9,defense,100
9,special-attack,85
9,special-defense,105
9,speed,78
10,hp,45
10,attack,30
10,defense,35
10,special-attack,20
10,special-defense,20
10,speed,45
11,hp,50
11,attack,20
11,defense,55
11,special-attack,25
11,special-defense,25
11,speed,30
12,hp,60
12,attack,45
12,defense,50
12,special-attack,90
12,special-defense,80
12,speed,70
13,hp,40
13,attack,35
13,defense,30
13,special-attack,20
13,special-defense,20
13,speed,50
14,hp,45
14,attack,25
14,defense,50
14,special-attack,25
14,special-defense,25
14,speed,35
15,hp,65
15,attack,90
15,defense,40
15,special-attack,45
15,special-defense,80
15,speed,75
16,hp,40
16,attack,45
16,defense,40
16,special-attack,35
16,special-defense,35
16,speed,56
17,hp,63
17,attack,60
17,defense,55
17,special-attack,50
17,special-defense,50
17,speed,71
18,hp,83
18,attack,80
18,defense,75
18,special-attack,70
18,special-defense,70
18,speed,101
19,hp,30
19,attack,56
19,defense,35
19,special-attack,25
19,special-defense,35
19,speed,72
20,hp,55
20,attack,81
20,defense,60
20,special-attack,50
20,special-defense,70
20,speed,97
21,hp,40
21,attack,60
21,defense,30
21,special-attack,31
21,special-defense,31
21,speed,70
22,hp,65
22,attack,90
22,defense,65
22,special-attack,61
22,special-defense,61
22,speed,100
23,hp,35
23,attack,60
23,defense,44
23,special-attack,40
23,special-defense,54
23,speed,55
24,hp,60
24,attack,95
24,defense,69
24,special-attack,65
24,special-defense,79
24,speed,80
25,hp,35
25,attack,55
25,defense,40
25,special-attack,50
25,special-defense,50
25,speed,90
26,hp,60
26,attack,90
26,defense,55
26,special-attack,90
26,special-defense,80
26,speed,110
27,hp,50
27,attack,75
27,defense,85
27,special-attack,20
27,special-defense,30
